hour,day,location,weather,road_condition,vehicle_type,accident,special_event,congestion
23,Thu,Residential,Foggy,Good,Bike,0,1,1
14,Sat,Office-Area,Clear,Bad,Car,1,0,1
8,Thu,Market,Foggy,Bad,Car,0,1,1
2,Sun,Highway,Clear,Good,Bus,1,0,1
9,Thu,Highway,Foggy,Good,Car,1,1,1
18,Tue,School-Zone,Foggy,Good,Car,0,0,1
0,Mon,Highway,Rainy,Good,Truck,1,1,0
23,Tue,Residential,Clear,Good,Bus,0,1,0
16,Thu,Office-Area,Foggy,Good,Car,1,0,1
6,Tue,Office-Area,Foggy,Bad,Bus,1,0,0
13,Fri,Market,Clear,Good,Bike,0,0,0
14,Thu,Highway,Foggy,Good,Car,0,1,1
11,Thu,School-Zone,Rainy,Good,Truck,0,1,1
11,Sun,School-Zone,Rainy,Good,Bike,1,0,1
2,Tue,Highway,Clear,Good,Truck,1,1,1
8,Sun,School-Zone,Foggy,Bad,Bike,0,1,0
8,Thu,Highway,Foggy,Bad,Car,1,0,0
18,Wed,Office-Area,Clear,Bad,Bus,0,0,1
17,Sat,Residential,Foggy,Bad,Bus,0,1,1
14,Mon,Market,Rainy,Bad,Car,0,0,1
2,Thu,School-Zone,Rainy,Good,Bus,1,0,1
10,Mon,Office-Area,Rainy,Good,Bus,1,1,0
17,Tue,Residential,Clear,Bad,Bike,0,1,1
5,Mon,Highway,Clear,Bad,Car,1,0,0
3,Sat,Office-Area,Rainy,Bad,Bike,0,0,0
10,Tue,Highway,Rainy,Good,Bus,0,1,1
16,Sun,Office-Area,Rainy,Bad,Truck,0,0,0
20,Sun,Market,Rainy,Bad,Truck,0,0,0
17,Fri,Market,Clear,Bad,Bike,0,0,1
6,Mon,School-Zone,Rainy,Good,Car,0,0,0
1,Sat,Residential,Clear,Good,Bike,0,0,0
1,Thu,Market,Foggy,Good,Car,0,0,0
6,Tue,Residential,Clear,Bad,Car,0,0,0
12,Mon,School-Zone,Rainy,Good,Bus,0,0,1
10,Tue,Residential,Rainy,Bad,Car,1,0,0
17,Mon,School-Zone,Foggy,Good,Bus,1,0,1
1,Wed,Residential,Clear,Bad,Bike,1,1,0
22,Fri,Market,Foggy,Bad,Bike,0,0,0
2,Sun,Market,Rainy,Good,Bus,1,0,0
5,Thu,Market,Foggy,Bad,Car,1,1,1
20,Tue,Residential,Foggy,Good,Bike,0,1,0
11,Sat,School-Zone,Foggy,Good,Bus,1,0,1
22,Sun,Market,Foggy,Bad,Bike,0,0,0
15,Sun,Highway,Clear,Good,Truck,0,1,1
22,Sat,Highway,Foggy,Bad,Car,0,0,1
10,Mon,School-Zone,Foggy,Good,Truck,0,1,1
14,Fri,Residential,Foggy,Good,Bus,1,0,1
13,Fri,Market,Foggy,Bad,Bus,0,0,0
4,Tue,Market,Clear,Good,Truck,1,0,1
19,Thu,Market,Clear,Good,Car,1,0,1
21,Fri,School-Zone,Rainy,Bad,Bus,1,1,0
18,Mon,Market,Rainy,Bad,Bike,1,1,0
0,Sat,Market,Clear,Bad,Truck,0,1,1
21,Sat,Highway,Clear,Good,Bike,0,1,0
23,Sun,Residential,Rainy,Bad,Truck,0,0,0
0,Mon,Highway,Foggy,Good,Truck,0,1,1
17,Thu,Office-Area,Foggy,Bad,Bus,1,1,0
12,Wed,Office-Area,Rainy,Bad,Bike,0,1,0
10,Thu,Residential,Rainy,Good,Bus,0,0,0
19,Sat,School-Zone,Rainy,Bad,Bike,1,1,0
5,Sat,Residential,Clear,Good,Car,0,0,1
9,Sat,Market,Foggy,Bad,Bike,0,1,0
15,Wed,Office-Area,Foggy,Good,Car,0,1,0
17,Mon,Highway,Rainy,Bad,Truck,1,1,0
19,Thu,Office-Area,Rainy,Good,Car,0,0,0
1,Sat,Office-Area,Rainy,Good,Truck,1,0,1
18,Mon,School-Zone,Foggy,Bad,Bike,0,0,0
6,Sat,Office-Area,Foggy,Bad,Car,1,0,0
18,Fri,Highway,Rainy,Bad,Car,1,1,1
9,Wed,School-Zone,Rainy,Bad,Car,0,0,1
8,Sat,Office-Area,Clear,Bad,Truck,1,1,1
6,Wed,Highway,Foggy,Good,Bus,0,1,0
9,Fri,Market,Rainy,Good,Bus,0,1,0
0,Sat,School-Zone,Foggy,Bad,Car,1,1,1
12,Wed,Highway,Foggy,Good,Bike,0,0,0
8,Thu,Market,Rainy,Bad,Car,0,0,1
4,Fri,Residential,Clear,Bad,Bus,1,1,1
8,Sat,Office-Area,Clear,Bad,Truck,1,0,1
20,Mon,Market,Clear,Bad,Car,1,1,0
20,Thu,School-Zone,Foggy,Bad,Bus,1,0,1
20,Mon,Office-Area,Rainy,Bad,Truck,0,1,0
21,Fri,Market,Foggy,Bad,Truck,0,1,1
14,Sun,School-Zone,Clear,Bad,Car,1,1,0
18,Mon,Office-Area,Foggy,Good,Car,0,1,1
22,Mon,Market,Foggy,Bad,Car,1,0,0
6,Sun,Market,Foggy,Good,Car,0,1,0
7,Wed,School-Zone,Foggy,Good,Truck,1,0,1
22,Sat,Market,Clear,Bad,Truck,0,1,0
22,Tue,Market,Rainy,Bad,Truck,1,1,0
1,Fri,School-Zone,Rainy,Good,Bus,0,1,1
11,Wed,Residential,Rainy,Bad,Bike,0,1,0
14,Wed,Office-Area,Clear,Good,Car,1,1,1
4,Fri,Residential,Clear,Bad,Car,0,1,1
12,Wed,Highway,Foggy,Good,Truck,0,0,0
21,Wed,Residential,Clear,Bad,Car,1,0,0
7,Sat,Highway,Foggy,Bad,Bus,0,0,0
20,Mon,Highway,Rainy,Bad,Car,0,1,1
6,Sat,Office-Area,Foggy,Bad,Bus,1,1,1
17,Fri,Office-Area,Rainy,Bad,Truck,1,0,1
5,Wed,Market,Clear,Bad,Car,1,1,1
18,Sun,Office-Area,Clear,Bad,Bus,0,1,1
11,Thu,Highway,Clear,Bad,Bus,1,1,0
8,Mon,Residential,Clear,Bad,Bus,1,1,0
9,Sun,Residential,Clear,Bad,Bus,1,1,0
20,Wed,Highway,Rainy,Bad,Car,0,0,0
20,Sun,Highway,Foggy,Good,Car,0,0,1
4,Tue,School-Zone,Foggy,Bad,Car,1,0,1
23,Thu,Market,Foggy,Good,Bike,1,0,1
13,Mon,School-Zone,Foggy,Bad,Truck,1,1,0
8,Sat,Office-Area,Foggy,Bad,Truck,1,1,1
4,Fri,Market,Clear,Bad,Bus,1,1,1
9,Fri,Market,Clear,Bad,Bus,0,0,1
23,Tue,Market,Rainy,Bad,Bike,1,1,0
21,Sun,Market,Rainy,Bad,Car,1,0,1
6,Wed,School-Zone,Clear,Good,Car,0,0,0
19,Tue,Market,Foggy,Bad,Bike,1,0,0
17,Sun,Highway,Foggy,Good,Bike,0,1,1
2,Thu,Market,Clear,Good,Bus,1,0,0
4,Tue,Office-Area,Clear,Good,Truck,1,1,0
5,Fri,Office-Area,Clear,Good,Car,0,0,1
6,Wed,Market,Foggy,Good,Bus,0,1,0
1,Wed,Office-Area,Clear,Good,Truck,1,0,0
3,Sat,Market,Rainy,Bad,Bus,1,1,1
21,Sat,Residential,Clear,Good,Truck,0,1,1
16,Mon,Office-Area,Rainy,Bad,Bus,1,0,0
16,Tue,Highway,Clear,Bad,Car,0,0,0
22,Wed,Residential,Foggy,Bad,Truck,0,0,0
20,Sat,Residential,Rainy,Good,Bike,1,0,1
6,Wed,School-Zone,Clear,Good,Car,0,0,1
8,Mon,Residential,Foggy,Bad,Bus,0,1,0
12,Mon,Market,Clear,Bad,Bike,0,1,1
14,Sun,School-Zone,Rainy,Bad,Bus,0,1,0
14,Fri,Market,Foggy,Good,Bike,0,1,1
15,Wed,School-Zone,Foggy,Bad,Car,1,0,1
5,Sun,School-Zone,Clear,Good,Car,0,0,0
18,Thu,School-Zone,Foggy,Good,Bus,1,1,0
0,Sun,Highway,Foggy,Good,Bus,0,1,0
0,Fri,Highway,Foggy,Bad,Car,0,1,1
9,Thu,Market,Clear,Bad,Bus,0,0,0
20,Fri,School-Zone,Foggy,Good,Bus,0,1,0
22,Wed,Residential,Clear,Good,Car,1,0,1
20,Fri,Market,Clear,Good,Bike,1,1,0
6,Sun,Market,Rainy,Good,Car,0,0,0
8,Sat,Market,Foggy,Bad,Bus,1,0,0
8,Mon,Market,Rainy,Bad,Bike,1,0,1
17,Sun,Highway,Clear,Bad,Bus,0,0,0
3,Tue,School-Zone,Rainy,Bad,Truck,1,0,0
3,Mon,Residential,Foggy,Good,Bus,1,0,1
9,Wed,Highway,Foggy,Good,Bus,1,1,0
2,Fri,Highway,Rainy,Good,Car,1,0,1
23,Wed,Office-Area,Rainy,Bad,Bike,1,0,0
4,Sat,Residential,Rainy,Bad,Truck,1,0,0
12,Thu,Highway,Rainy,Good,Bike,1,0,1
11,Wed,Office-Area,Clear,Good,Bus,1,1,1
11,Tue,Office-Area,Foggy,Bad,Truck,1,1,1
22,Thu,School-Zone,Rainy,Good,Car,1,0,0
12,Mon,School-Zone,Clear,Bad,Bike,0,0,1
4,Fri,School-Zone,Foggy,Bad,Car,0,1,1
12,Tue,Office-Area,Foggy,Good,Car,0,0,0
6,Sat,Market,Foggy,Bad,Car,1,1,0
23,Sat,School-Zone,Clear,Good,Bus,1,0,0
15,Tue,Highway,Foggy,Good,Truck,1,1,1
18,Tue,Office-Area,Foggy,Bad,Car,1,1,0
20,Thu,School-Zone,Rainy,Bad,Bike,0,1,0
12,Sun,Office-Area,Clear,Good,Truck,0,1,1
15,Fri,Market,Rainy,Good,Bike,1,0,0
8,Wed,School-Zone,Rainy,Good,Car,0,1,1
13,Sun,Market,Foggy,Bad,Bus,1,0,0
6,Sun,Market,Clear,Bad,Bus,1,0,0
13,Wed,School-Zone,Foggy,Good,Car,0,0,1
9,Fri,Office-Area,Rainy,Bad,Bus,0,0,1
13,Thu,Highway,Rainy,Good,Bus,1,1,0
3,Thu,Office-Area,Foggy,Good,Truck,1,1,1
22,Fri,Office-Area,Foggy,Bad,Bus,1,1,0
18,Fri,School-Zone,Rainy,Bad,Bike,0,0,1
11,Sat,Office-Area,Foggy,Bad,Bus,0,0,0
20,Sun,Residential,Rainy,Bad,Bus,0,1,0
23,Sun,Market,Clear,Bad,Truck,1,0,0
22,Tue,Office-Area,Rainy,Bad,Car,0,1,0
22,Sat,Office-Area,Foggy,Good,Bus,1,1,0
3,Sun,Residential,Rainy,Good,Bus,1,1,1
5,Thu,Highway,Clear,Bad,Bike,0,0,1
19,Wed,Market,Foggy,Bad,Bus,0,0,1
7,Wed,Market,Foggy,Good,Bike,1,1,1
4,Sun,Market,Rainy,Good,Car,1,1,0
5,Tue,Market,Clear,Bad,Car,0,1,1
12,Sun,Residential,Rainy,Good,Truck,0,1,0
3,Sat,Residential,Rainy,Bad,Car,0,1,0
14,Wed,Highway,Foggy,Bad,Truck,1,0,1
22,Thu,Residential,Rainy,Bad,Car,1,1,1
14,Tue,Market,Foggy,Good,Truck,1,1,0
19,Tue,Residential,Foggy,Bad,Truck,1,0,0
19,Mon,School-Zone,Foggy,Bad,Car,1,1,0
14,Sun,Office-Area,Foggy,Bad,Bike,1,1,1
6,Thu,Market,Foggy,Bad,Truck,0,1,0
14,Fri,Highway,Clear,Bad,Car,1,0,0
17,Fri,Office-Area,Rainy,Bad,Truck,0,1,1
18,Wed,Residential,Rainy,Good,Truck,0,1,0
8,Tue,Residential,Rainy,Bad,Truck,1,0,1
9,Sun,Office-Area,Rainy,Good,Truck,0,1,0
12,Mon,Market,Rainy,Good,Bus,0,1,1
21,Sat,Residential,Foggy,Bad,Bus,0,1,0
9,Thu,Highway,Foggy,Good,Truck,0,0,1
6,Sat,Highway,Rainy,Bad,Bike,0,0,1
11,Wed,Office-Area,Clear,Bad,Truck,0,0,0
2,Fri,Office-Area,Foggy,Bad,Bike,0,1,1
12,Sun,School-Zone,Clear,Good,Bus,0,1,1
9,Fri,School-Zone,Clear,Bad,Car,0,1,0
13,Tue,Highway,Clear,Good,Car,1,0,1
9,Wed,Market,Rainy,Bad,Truck,1,1,0
22,Sun,School-Zone,Clear,Bad,Bike,1,0,1
8,Fri,School-Zone,Rainy,Bad,Truck,1,1,0
1,Sat,School-Zone,Rainy,Good,Truck,1,0,0
3,Fri,Office-Area,Clear,Good,Truck,1,0,0
18,Fri,Residential,Foggy,Bad,Truck,1,1,1
6,Mon,Market,Foggy,Good,Bus,0,1,0
19,Wed,School-Zone,Clear,Good,Bike,1,0,0
18,Thu,Residential,Clear,Good,Bike,1,1,1
14,Wed,Residential,Foggy,Bad,Car,0,1,1
7,Thu,Highway,Rainy,Bad,Car,0,1,1
8,Mon,Office-Area,Foggy,Good,Truck,0,1,1
19,Sat,Residential,Foggy,Good,Truck,0,1,1
4,Sat,Market,Clear,Good,Car,1,0,1
23,Sun,Office-Area,Foggy,Bad,Truck,0,0,0
23,Mon,Highway,Foggy,Bad,Bus,0,0,1
15,Thu,School-Zone,Rainy,Good,Car,0,0,0
22,Sat,Market,Clear,Good,Bus,1,0,1
20,Tue,Residential,Clear,Bad,Bus,0,1,1
19,Tue,Highway,Clear,Good,Truck,1,1,0
9,Fri,Highway,Foggy,Bad,Bike,1,1,1
3,Thu,Market,Rainy,Bad,Bike,1,1,1
19,Wed,Office-Area,Rainy,Good,Truck,0,0,0
17,Fri,School-Zone,Clear,Good,Bike,0,1,0
10,Tue,School-Zone,Foggy,Bad,Bike,0,0,1
19,Sun,School-Zone,Clear,Good,Truck,1,0,1
13,Thu,Market,Foggy,Good,Bus,1,1,1
5,Sat,Market,Foggy,Good,Car,0,0,0
6,Tue,Residential,Foggy,Bad,Car,1,1,1
15,Wed,School-Zone,Foggy,Bad,Bike,0,0,0
17,Mon,Residential,Clear,Good,Bus,0,0,0
4,Sun,Office-Area,Clear,Good,Bus,0,0,0
14,Sun,School-Zone,Clear,Good,Bike,0,1,0
17,Thu,School-Zone,Clear,Good,Truck,0,0,1
2,Fri,Market,Foggy,Bad,Bus,0,1,1
11,Wed,Office-Area,Clear,Bad,Bike,1,0,1
1,Fri,Residential,Clear,Bad,Car,0,0,0
17,Tue,Market,Rainy,Bad,Bike,1,1,1
0,Tue,Residential,Rainy,Good,Bus,0,1,1
16,Thu,Residential,Clear,Good,Bike,1,1,1
12,Sun,Highway,Foggy,Good,Truck,0,0,0
0,Sat,Residential,Clear,Bad,Bike,0,0,0
5,Thu,Market,Clear,Good,Car,0,0,0
22,Sun,Highway,Clear,Bad,Car,0,0,0
6,Sun,Residential,Clear,Good,Bus,1,0,0
16,Fri,School-Zone,Clear,Good,Truck,0,1,1
1,Fri,Office-Area,Clear,Good,Bus,1,0,0
8,Mon,Market,Rainy,Bad,Bike,1,0,0
8,Sun,Highway,Foggy,Bad,Bus,1,1,0
8,Thu,Office-Area,Rainy,Bad,Bike,1,0,1
8,Mon,Office-Area,Rainy,Bad,Truck,0,0,1
5,Mon,Residential,Clear,Bad,Car,1,0,0
19,Thu,Residential,Foggy,Good,Bike,0,1,0
15,Sun,Highway,Rainy,Good,Bike,0,1,0
8,Wed,Residential,Clear,Bad,Bike,0,0,1
19,Fri,Office-Area,Rainy,Good,Truck,0,1,1
19,Sat,Residential,Foggy,Bad,Bus,0,1,0
17,Sun,Office-Area,Clear,Bad,Bike,1,0,0
6,Fri,School-Zone,Rainy,Bad,Bus,1,1,0
19,Thu,Residential,Rainy,Good,Bus,0,1,1
8,Mon,School-Zone,Rainy,Good,Truck,1,1,0
23,Sun,Highway,Rainy,Bad,Car,0,1,0
13,Thu,School-Zone,Clear,Bad,Bike,0,0,0
14,Sat,Market,Foggy,Good,Car,0,0,1
15,Wed,Office-Area,Foggy,Bad,Bike,0,0,1
8,Tue,Residential,Rainy,Good,Bus,1,1,1
16,Mon,Office-Area,Clear,Bad,Bike,1,0,0
18,Thu,School-Zone,Clear,Good,Bus,0,0,0
10,Sun,Market,Rainy,Bad,Bus,1,0,1
5,Fri,Market,Foggy,Bad,Bike,1,0,0
12,Sun,School-Zone,Foggy,Bad,Car,1,0,1
12,Mon,School-Zone,Clear,Bad,Bike,0,1,1
0,Mon,Office-Area,Foggy,Bad,Bus,0,0,1
18,Sun,Residential,Foggy,Good,Truck,0,1,1
2,Wed,School-Zone,Rainy,Good,Bike,1,0,1
14,Wed,Residential,Rainy,Bad,Car,1,0,0
6,Fri,Highway,Clear,Good,Bike,0,0,0
0,Sun,Highway,Foggy,Bad,Truck,1,0,1
8,Mon,Highway,Clear,Bad,Bike,0,1,1
10,Fri,School-Zone,Clear,Bad,Bike,0,1,0
1,Mon,Residential,Rainy,Good,Truck,0,1,0
12,Mon,Market,Foggy,Bad,Truck,1,1,0
5,Sat,Residential,Rainy,Good,Bus,1,1,1
0,Wed,School-Zone,Rainy,Good,Bike,0,1,0
19,Sat,Residential,Foggy,Bad,Bike,1,0,1
1,Sun,Highway,Foggy,Good,Bike,0,0,0
13,Sun,Highway,Rainy,Good,Bike,0,0,1
6,Sun,Residential,Clear,Good,Truck,0,0,0
2,Sat,Residential,Foggy,Bad,Truck,0,0,1
22,Tue,School-Zone,Clear,Good,Bus,1,1,0
18,Fri,Residential,Clear,Bad,Bus,1,0,1
7,Wed,School-Zone,Rainy,Bad,Bike,1,1,1
23,Tue,Highway,Rainy,Good,Car,1,0,0
1,Wed,Office-Area,Foggy,Good,Bike,0,0,0
3,Fri,Residential,Foggy,Bad,Truck,0,0,1
10,Sun,Market,Clear,Good,Car,1,1,0
13,Fri,School-Zone,Foggy,Bad,Truck,0,1,0
11,Sat,Highway,Rainy,Good,Truck,1,1,0
9,Thu,School-Zone,Clear,Good,Bus,1,0,0
12,Mon,School-Zone,Clear,Good,Truck,1,0,0
18,Wed,Office-Area,Clear,Bad,Bus,0,1,0
15,Mon,School-Zone,Foggy,Good,Car,1,0,1
4,Fri,Office-Area,Rainy,Bad,Car,0,1,0
1,Tue,Market,Foggy,Bad,Bus,0,0,1
2,Sat,School-Zone,Clear,Good,Car,1,1,1
8,Wed,Office-Area,Foggy,Good,Bike,1,1,0
9,Thu,Market,Clear,Bad,Car,1,1,1
2,Tue,Highway,Foggy,Good,Truck,0,0,0
21,Mon,Market,Clear,Good,Bus,0,0,0
0,Mon,School-Zone,Rainy,Bad,Bus,1,0,1
7,Tue,Highway,Foggy,Good,Truck,0,0,1
7,Mon,Market,Foggy,Good,Bike,1,1,1
20,Thu,Highway,Clear,Bad,Bus,0,1,0
14,Mon,Office-Area,Foggy,Bad,Truck,1,0,0
2,Fri,Highway,Clear,Good,Truck,1,0,1
14,Mon,Market,Rainy,Bad,Car,0,0,1
2,Wed,Market,Clear,Bad,Bike,0,1,0
14,Mon,Office-Area,Foggy,Bad,Bike,1,0,1
8,Thu,Office-Area,Foggy,Good,Car,0,1,1
11,Wed,Highway,Rainy,Bad,Truck,1,1,0
4,Sun,Market,Foggy,Bad,Truck,1,1,0
23,Tue,Office-Area,Rainy,Bad,Car,1,1,0
9,Wed,Highway,Clear,Good,Car,0,0,0
17,Tue,School-Zone,Rainy,Bad,Truck,0,1,1
17,Mon,School-Zone,Clear,Good,Car,1,0,1
17,Mon,Office-Area,Foggy,Bad,Car,1,0,0
15,Sat,Highway,Rainy,Good,Bus,1,0,0
15,Fri,School-Zone,Clear,Bad,Truck,0,1,1
15,Mon,Office-Area,Rainy,Good,Car,1,1,0
3,Wed,Office-Area,Rainy,Bad,Bike,1,0,1
3,Fri,Market,Foggy,Bad,Bike,1,1,1
15,Wed,Office-Area,Foggy,Good,Truck,1,1,0
4,Tue,Highway,Clear,Bad,Bus,1,1,1
23,Wed,Office-Area,Rainy,Bad,Truck,1,0,0
7,Fri,Highway,Clear,Bad,Bus,0,0,1
1,Tue,Residential,Rainy,Bad,Bike,0,1,0
4,Sat,School-Zone,Rainy,Good,Truck,0,0,1
14,Tue,School-Zone,Clear,Bad,Truck,0,1,1
2,Thu,Office-Area,Rainy,Good,Bike,0,1,0
8,Sat,Office-Area,Foggy,Bad,Bus,0,0,1
11,Thu,Highway,Rainy,Good,Car,1,0,1
17,Wed,Office-Area,Clear,Bad,Car,0,1,0
8,Wed,Highway,Rainy,Good,Car,0,1,1
20,Thu,Residential,Clear,Good,Bike,1,0,1
7,Wed,Office-Area,Foggy,Bad,Car,1,0,1
12,Mon,Office-Area,Rainy,Bad,Bus,1,1,1
5,Fri,Residential,Rainy,Bad,Car,0,1,1
11,Wed,Market,Foggy,Good,Bike,0,1,0
7,Sun,Highway,Rainy,Good,Truck,0,0,0
19,Sun,Office-Area,Clear,Good,Car,0,0,1
23,Fri,Market,Clear,Good,Bus,1,1,0
9,Thu,Residential,Foggy,Good,Bike,1,1,0
17,Sat,Residential,Clear,Good,Truck,0,1,1
17,Sun,Highway,Clear,Good,Bike,0,0,0
14,Sat,Market,Foggy,Good,Car,1,0,1
17,Wed,Highway,Foggy,Good,Bike,1,0,1
3,Wed,Office-Area,Clear,Bad,Bike,0,0,1
6,Tue,Office-Area,Clear,Bad,Bus,0,0,1
12,Tue,Residential,Foggy,Bad,Truck,1,0,0
21,Wed,Residential,Rainy,Good,Truck,1,0,1
21,Wed,School-Zone,Clear,Bad,Truck,0,1,1
14,Wed,School-Zone,Foggy,Bad,Car,0,1,0
20,Thu,Residential,Clear,Good,Truck,1,1,1
13,Thu,Office-Area,Clear,Good,Bike,0,1,1
1,Sun,Office-Area,Foggy,Good,Truck,0,0,0
13,Sat,Residential,Foggy,Bad,Bus,1,0,1
16,Sun,School-Zone,Clear,Bad,Bus,1,0,1
23,Thu,Residential,Rainy,Good,Bike,1,1,1
22,Wed,Residential,Foggy,Good,Car,0,1,0
14,Tue,Highway,Rainy,Good,Car,0,1,1
9,Thu,Residential,Rainy,Good,Bike,0,1,1
1,Tue,Residential,Rainy,Bad,Car,0,1,1
11,Wed,School-Zone,Clear,Bad,Bike,1,1,0
20,Wed,Market,Foggy,Bad,Bike,1,1,1
14,Wed,School-Zone,Foggy,Good,Car,0,1,0
19,Thu,School-Zone,Rainy,Good,Bus,1,1,0
21,Sat,Office-Area,Clear,Good,Truck,0,1,0
20,Tue,School-Zone,Rainy,Good,Bike,1,1,1
18,Sat,Office-Area,Clear,Bad,Truck,0,1,1
10,Tue,School-Zone,Clear,Good,Car,0,0,0
21,Mon,School-Zone,Foggy,Bad,Bike,0,1,0
11,Tue,Office-Area,Rainy,Good,Car,0,0,1
11,Thu,Highway,Clear,Good,Bus,0,0,0
5,Fri,Market,Rainy,Good,Bike,1,0,1
16,Fri,Residential,Clear,Good,Truck,1,1,0
9,Fri,Residential,Rainy,Bad,Car,1,0,0
9,Sat,Residential,Rainy,Good,Car,0,1,0
9,Sat,Office-Area,Clear,Bad,Bike,1,0,1
6,Sat,Market,Clear,Bad,Bike,0,1,0
23,Mon,Market,Foggy,Bad,Bus,1,1,1
20,Tue,Residential,Foggy,Bad,Truck,0,0,1
22,Sat,Market,Foggy,Bad,Bike,1,0,0
14,Sun,Residential,Clear,Good,Bus,1,1,1
0,Tue,Office-Area,Foggy,Good,Bike,0,1,1
12,Sat,School-Zone,Foggy,Good,Bus,1,0,1
17,Tue,Office-Area,Rainy,Good,Bus,1,1,0
12,Fri,Highway,Foggy,Good,Bike,0,1,1
4,Sat,Residential,Foggy,Good,Bus,0,1,0
10,Sun,Office-Area,Clear,Good,Bike,1,0,0
18,Sat,Highway,Rainy,Bad,Car,1,1,0
6,Tue,Residential,Rainy,Bad,Bike,0,0,0
3,Tue,Highway,Clear,Bad,Bus,0,1,1
18,Mon,Market,Clear,Bad,Bus,0,1,0
5,Sun,Highway,Foggy,Bad,Bike,1,0,0
1,Fri,Residential,Clear,Bad,Truck,1,1,1
14,Sat,Market,Foggy,Bad,Truck,0,0,0
19,Thu,School-Zone,Clear,Good,Car,1,0,1
11,Sat,Office-Area,Clear,Bad,Car,0,1,1
22,Sun,Residential,Rainy,Bad,Car,0,0,0
19,Mon,Residential,Foggy,Good,Bike,1,1,0
13,Tue,Residential,Rainy,Bad,Bike,1,1,0
17,Tue,Highway,Clear,Bad,Bike,1,1,1
4,Fri,Market,Foggy,Bad,Car,0,1,0
10,Wed,Market,Clear,Good,Bike,0,0,1
4,Sat,Market,Rainy,Bad,Truck,1,1,1
10,Sun,Residential,Rainy,Bad,Bike,1,0,1
16,Sat,Office-Area,Clear,Bad,Truck,0,1,1
1,Mon,Office-Area,Clear,Good,Bus,0,1,0
10,Mon,Highway,Rainy,Good,Car,1,1,0
0,Thu,School-Zone,Foggy,Bad,Bus,1,1,1
17,Sun,School-Zone,Foggy,Bad,Bus,0,1,1
3,Thu,Residential,Clear,Good,Truck,0,1,0
2,Thu,Office-Area,Foggy,Good,Bike,0,1,0
2,Wed,School-Zone,Foggy,Bad,Truck,0,0,1
2,Sun,Residential,Clear,Good,Truck,0,1,0
23,Wed,Residential,Rainy,Good,Car,0,1,0
2,Sun,Residential,Rainy,Bad,Bike,0,0,0
0,Mon,Market,Clear,Bad,Bus,0,1,0
2,Tue,School-Zone,Foggy,Bad,Car,0,0,0
7,Thu,Highway,Rainy,Bad,Bike,1,0,0
1,Thu,Highway,Clear,Bad,Car,0,0,0
19,Tue,Market,Rainy,Good,Bike,0,0,0
12,Mon,Office-Area,Rainy,Bad,Truck,0,0,0
1,Sat,School-Zone,Foggy,Good,Bike,0,1,0
5,Sat,Office-Area,Clear,Bad,Bike,0,1,0
22,Fri,Residential,Foggy,Good,Car,0,0,0
9,Tue,Highway,Foggy,Bad,Bus,0,1,1
21,Thu,Highway,Rainy,Bad,Bus,1,1,1
12,Wed,Highway,Clear,Good,Bike,1,1,1
9,Sun,School-Zone,Rainy,Bad,Truck,1,1,0
2,Mon,Office-Area,Rainy,Good,Car,0,0,0
0,Tue,School-Zone,Clear,Bad,Car,1,1,1
10,Mon,Market,Rainy,Bad,Car,1,0,1
21,Mon,Highway,Rainy,Bad,Bus,1,1,1
12,Fri,School-Zone,Clear,Good,Bus,1,0,1
5,Sat,Highway,Foggy,Bad,Car,0,1,0
0,Sat,Office-Area,Rainy,Good,Truck,1,0,1
12,Mon,School-Zone,Rainy,Bad,Car,0,1,1
2,Sat,School-Zone,Foggy,Good,Bike,1,0,0
17,Thu,Office-Area,Foggy,Good,Car,0,1,1
14,Sat,Office-Area,Foggy,Bad,Truck,1,1,1
21,Sat,Office-Area,Foggy,Good,Bus,0,1,0
22,Tue,Residential,Clear,Good,Truck,0,0,1
13,Fri,Market,Clear,Bad,Truck,1,0,1
9,Tue,Office-Area,Clear,Good,Bike,1,0,1
1,Sat,Market,Rainy,Good,Truck,0,1,1
2,Fri,Residential,Clear,Good,Bus,1,0,1
21,Fri,Office-Area,Clear,Bad,Bus,0,1,1
2,Tue,Market,Foggy,Good,Car,0,0,1
2,Fri,Office-Area,Rainy,Good,Truck,1,0,1
8,Mon,Market,Rainy,Good,Car,1,0,0
20,Sun,Market,Rainy,Bad,Truck,0,1,1
6,Wed,Residential,Foggy,Bad,Truck,0,1,0
0,Fri,Highway,Clear,Bad,Truck,0,0,1
18,Thu,Residential,Foggy,Good,Truck,1,0,1
17,Sat,Highway,Clear,Good,Bus,1,0,1
7,Wed,School-Zone,Clear,Bad,Bike,0,1,1
22,Wed,Residential,Foggy,Good,Bike,0,1,1
0,Thu,School-Zone,Clear,Bad,Truck,0,1,1
2,Tue,Office-Area,Rainy,Good,Car,1,0,1
10,Wed,Highway,Rainy,Bad,Bike,0,1,0
21,Wed,School-Zone,Rainy,Good,Car,1,0,0
18,Tue,Residential,Clear,Bad,Car,0,1,1
4,Fri,Highway,Foggy,Bad,Bike,0,1,1
3,Tue,Residential,Clear,Bad,Bus,1,0,0
0,Wed,Highway,Clear,Bad,Bus,1,1,0
5,Tue,Residential,Clear,Good,Bike,1,0,0
18,Wed,Highway,Rainy,Good,Truck,0,1,0
17,Sat,School-Zone,Rainy,Bad,Bike,0,1,1
5,Fri,Market,Clear,Bad,Car,0,1,1
